ticker,ex_date,cash_amount,prev_close,open,volume,drop_ratio
ULVM,2024-02-09,0.038057,69.498,69.7543,56,-6.7346348897705015
URI,2024-02-13,1.63,663.53,639.05,716640,15.018404907975473
USTB,2024-02-09,0.1988,49.75,49.63,79905,0.6036217303822808
USVM,2024-02-09,0.037,73.3795,73.49,6260,-2.9864864864865357
UTF,2024-02-13,0.155,22.2,21.76,265213,2.8387096774193403
UTL,2024-02-13,0.425,49.89,45.26,107159,10.89411764705883
V,2024-02-08,0.52,279.39,279.54,5680851,-0.28846153846160405
VBND,2024-02-13,0.10066715,43.63,43.1,9224,5.26487538387648
VBTX,2024-02-08,0.2,19.94,19.59,536010,1.750000000000007
VFLO,2024-02-09,0.0341,28.7602,28.62,118143,4.111436950146631
VGI,2024-02-09,0.08,7.8,7.77,81269,0.3750000000000031
VSDA,2024-02-09,0.0223,47.77,47.67,9446,4.48430493273549
VSMV,2024-02-09,0.0183,43.56,43.59,7225,-1.639344262295144
WEC,2024-02-13,0.835,78.37,77.34,2381780,1.233532934131738
WINA,2024-02-13,0.8,382.02,372.04,33492,12.474999999999952
WKLY,2024-02-13,0.02,48.9196,48.49,3278,21.480000000000032
WRK,2024-02-08,0.3025,39.92,41.63,4168648,-5.6528925619834745
WSFS,2024-02-08,0.15,41.43,41.49,223029,-0.4000000000000152
WT,2024-02-13,0.03,7.25,7.06,1508809,6.333333333333346
WTRG,2024-02-08,0.3071,35.6,35.15,1092582,1.4653207424291854
X,2024-02-09,0.05,46.36,46.13,1855738,4.5999999999999375
XOM,2024-02-13,0.95,103.17,102.76,18594400,0.4315789473684175
ZTR,2024-02-09,0.05,5.28,5.21,129684,1.4000000000000057
