sic_description,n_events,n_tickers,n_capture_ret_abn,n_capture_ret,n_drop_ratio,event_share_of_analysis,ticker_share_of_analysis,mean_capture_ret_abn,stddev_capture_ret_abn,se_capture_ret_abn,ci95_low_capture_ret_abn,ci95_high_capture_ret_abn,median_capture_ret_abn,p25_capture_ret_abn,p75_capture_ret_abn,positive_capture_ret_abn_rate,mean_capture_ret,median_capture_ret,mean_drop_ratio,median_drop_ratio,p25_drop_ratio,p75_drop_ratio,drop_ratio_lt_1_rate,low_n_flag,low_ticker_flag,report_eligible_flag
RETAIL-GROCERY STORES,121,6,121,121,121,0.0007501735938894951,0.0006659267480577136,0.0013326383066133492,0.007130346666867225,0.0006482133333515659,6.214017324428006e-05,0.0026031364399824184,0.0004711722449270109,-0.0033447727010731915,0.00596100618306272,0.5289256198347108,0.0003827202171380432,0.0008726003490400967,1.051110870540005,0.8399999999999892,0.323529411764746,1.647058823529408,0.5785123966942148,False,False,True
PUMPS & PUMPING EQUIPMENT,120,6,120,120,120,0.0007439738121218134,0.0006659267480577136,0.00031381887489664027,0.004807447732795389,0.00043885792787985044,-0.0005463426637478666,0.001173980413541147,0.00037402648316312904,-0.002975376062216684,0.0025854254846573513,0.5333333333333333,0.00038006664626351376,0.0013594344752581693,0.9685667329944452,0.6440677966101618,-0.7142857142857075,2.0422535211267845,0.5833333333333334,False,False,True
"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",119,6,119,119,119,0.0007377740303541315,0.0006659267480577136,0.0008096015156504313,0.008190146812744952,0.0007507895273683693,-0.0006619459579915725,0.002281148989292435,0.0012138034550149448,-0.00339673990253699,0.004538186600393109,0.5882352941176471,0.000758356449268547,0.0012099043331458346,1.8213750397898483,0.7083333333333257,-0.6266666666666652,2.133333333333667,0.5630252100840336,False,False,True
"PLASTICS PRODUCTS, NEC",114,6,114,114,114,0.0007067751215157226,0.0006659267480577136,-0.0013252334411849348,0.01485245928904708,0.0013910602637216228,-0.004051711558079315,0.0014012446757094457,5.352290800563018e-05,-0.003606442930897719,0.004136496955075959,0.5087719298245614,-0.0009467536049815267,0.0005597014925372766,3.45681794213733,0.8888888888888962,0.1304347826087006,1.9285714285714508,0.543859649122807,False,False,True
SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,114,7,114,114,114,0.0007067751215157226,0.0007769145394006659,0.0005428847700642585,0.00898924848740223,0.0008419202590083132,-0.0011072789375920354,0.0021930484777205523,-0.00029812331423618196,-0.003973570023620946,0.003653350496081307,0.4824561403508772,0.0015141551718047001,0.0006243614485185737,0.11521467685923756,0.7999999999999958,-0.13513513513512745,1.55263157894734,0.5526315789473685,False,False,True
TELEVISION BROADCASTING STATIONS,113,9,113,113,113,0.0007005753397480408,0.0009988901220865706,0.0029734949212500005,0.020896048017028466,0.0019657348436364365,-0.0008793453722774152,0.006826335214777416,0.0009925427256776947,-0.0038122571001494654,0.0070518641865681886,0.5663716814159292,0.004744246310413133,0.0012203626220362478,0.44728926072329606,0.8000000000000007,0.12499999999999734,1.4615384615384577,0.5663716814159292,False,False,True
OIL & GAS FIELD MACHINERY & EQUIPMENT,111,8,111,111,111,0.0006881757762126773,0.0008879023307436182,0.004181917005834581,0.01687576009546829,0.0016017762629014685,0.0010424355305477034,0.007321398481121459,0.0027844947063408593,-0.0033392680811458616,0.010756115694860874,0.6306306306306306,0.004271718399741903,0.004237288135593202,0.16949819442622457,0.20000000000003126,-1.4666666666666592,2.111111111111086,0.6216216216216216,False,False,True
MISCELLANEOUS FABRICATED METAL PRODUCTS,108,6,108,108,108,0.0006695764309096319,0.0006659267480577136,-0.0014708173545459088,0.01278441724116186,0.0012301811226028822,-0.0038819723548475576,0.00094033764575574,0.00024410207758384685,-0.00406488099339954,0.003200000000000031,0.5462962962962963,-0.0007807029699089195,0.0014416752266134558,1.1535585528297208,0.3404255319148864,-1.2857142857142836,2.666666666666693,0.5648148148148148,False,False,True
FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,107,8,107,107,107,0.0006633766491419502,0.0008879023307436182,0.0033353027505972706,0.012631953308445524,0.001221177019119538,0.0009417957931229762,0.0057288097080715646,0.0036231674922654056,-0.0014969526464062915,0.009522323624254593,0.7102803738317757,0.0038095839871621433,0.004962938264638724,0.7393988015738975,0.6650434782608717,0.2953846153846149,1.001739130434791,0.7476635514018691,False,False,True
SURETY INSURANCE,107,7,107,107,107,0.0006633766491419502,0.0007769145394006659,0.0002947015586840696,0.0056116873969011705,0.0005425022971702036,-0.0007686029437695295,0.0013580060611376686,-0.0003789668319186786,-0.002838639527799272,0.002137838458613122,0.45794392523364486,0.0011685012167360906,0.0006744604316548235,0.8231951398553508,0.9400000000000001,0.24999999999999467,1.6071428571428417,0.5607476635514018,False,False,True
APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,103,6,103,103,103,0.000638577522071223,0.0006659267480577136,0.0008622450180814501,0.009965480458126468,0.0009819279666366122,-0.0010623337965263097,0.00278682383268921,-2.6057403797522666e-05,-0.0032669660616103866,0.005614033932502871,0.4854368932038835,0.0002758595137716555,-6.40267026888787e-17,1.0002928091326142,1.000000000000004,0.19999999999999574,1.800000000000021,0.4854368932038835,False,False,True
"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",102,6,102,102,102,0.0006323777403035413,0.0006659267480577136,0.0015417039009744248,0.00818077326634315,0.0008100172549318932,-4.592991869208584e-05,0.003129337720640935,0.0010640315495114069,-0.0031837422956938408,0.0063512744851598815,0.5588235294117647,0.0024364993389173607,0.0019029006377289034,0.45440410933757175,0.7249999999999979,-0.3599999999999568,1.2800000000000011,0.6176470588235294,False,False,True
FOOD AND KINDRED PRODUCTS,100,5,100,100,100,0.0006199781767681778,0.0005549389567147614,0.0013236874886297114,0.00892633951317041,0.0008926339513170411,-0.00042587505595168907,0.003073250033211112,0.0007868632763796614,-0.0026890226768126473,0.004210580624260791,0.58,0.0011291715966112248,0.0016490765171503715,0.8908633776238147,0.8421052631578955,0.6285714285714253,1.1621621621621614,0.66,False,False,True
"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",100,5,100,100,100,0.0006199781767681778,0.0005549389567147614,0.000936316739246773,0.01466983860039758,0.001466983860039758,-0.0019389716264311524,0.0038116051049246987,0.0013737729392211415,-0.002511337707775547,0.006441466067344635,0.58,0.0013927194281256681,0.0016359727026269047,0.5031189318398507,0.5833333333333357,-0.9215686274509781,1.6999999999999815,0.6,False,False,True
MOTOR VEHICLES & PASSENGER CAR BODIES,99,5,99,99,99,0.000613778395000496,0.0005549389567147614,0.00193020884342262,0.005705782186505721,0.000573452686307064,0.0008062415782607746,0.0030541761085844657,0.0015263614803444315,-0.002374966185921158,0.005226973888375291,0.6262626262626263,0.002523012094019452,0.001879427497470018,0.8402539742541812,0.6666666666666643,-0.6086956521739155,2.0810810810810705,0.6060606060606061,False,False,True
CHEMICALS & ALLIED PRODUCTS,97,8,97,97,97,0.0006013788314651324,0.0008879023307436182,0.0019217204378039468,0.00869106021031673,0.0008824434655490477,0.0001921312453278133,0.00365130963028008,0.0027431458024717997,-0.001997132763344964,0.007110434656897192,0.6701030927835051,0.002490499559285054,0.004163997437540034,0.5735931845689042,0.5052631578947411,-0.2947368421052494,1.3599999999999994,0.6597938144329897,False,False,True
"RAILROADS, LINE-HAUL OPERATING",95,5,95,95,95,0.0005889792679297689,0.0005549389567147614,0.0018307365178118443,0.013412032260224686,0.001376045475645825,-0.0008663126144539729,0.004527785650077661,8.446775413891751e-05,-0.0021727154583180953,0.0031745663197057868,0.5157894736842106,0.0026146863800852534,0.0009571074087201671,0.4560110881722834,0.7657157894741252,-0.31851851851852353,1.8214350765538632,0.5894736842105263,False,False,True
