pseudo_sector,label_level,n_events,n_tickers,n_capture_ret_abn,n_capture_ret,n_drop_ratio,event_share_of_analysis,ticker_share_of_analysis,mean_capture_ret_abn,stddev_capture_ret_abn,se_capture_ret_abn,ci95_low_capture_ret_abn,ci95_high_capture_ret_abn,median_capture_ret_abn,p25_capture_ret_abn,p75_capture_ret_abn,positive_capture_ret_abn_rate,mean_capture_ret,median_capture_ret,mean_drop_ratio,median_drop_ratio,p25_drop_ratio,p75_drop_ratio,drop_ratio_lt_1_rate,low_n_flag,low_ticker_flag,report_eligible_flag
SIC 38,hybrid,77,9,77,77,77,0.011432813659985152,0.01948051948051948,0.0009950770831099753,0.024331383247801368,0.0027728184609798214,-0.004439647100410475,0.006429801266630425,0.000862084650810376,-0.00682056849501132,0.005592851345918754,0.5194805194805194,0.0021190586365269133,0.0012332990750256823,0.7585757641489561,0.9333333333333312,0.30303030303030326,1.3333333333333346,0.5454545454545454,False,False,True
SIC 35,hybrid,69,6,69,69,69,0.010244988864142539,0.012987012987012988,0.0011152201064591652,0.011753031321152784,0.0014148987019407429,-0.0016579813493446908,0.0038884215622630213,0.0005013675857055973,-0.006914416232384502,0.007369475081448476,0.5507246376811594,0.00152282246575643,0.0006680533463845369,0.9453643094309114,0.8882521489971179,-0.31295965949988375,1.8793012175754389,0.5217391304347826,False,False,True
Retail Trade (other),hybrid,48,5,48,48,48,0.0071269487750556795,0.010822510822510822,0.0011199806210962797,0.010762413690429112,0.0015534206103248404,-0.0019247237751404075,0.004164685017332967,0.0008356308420886874,-0.004511281498496127,0.004410832779349615,0.5833333333333334,0.0006760997190543007,-0.0002254595907040932,0.3509567507422949,0.9030347890451509,0.25641025641029647,1.6000000000000227,0.5,False,False,True
SIC 61,hybrid,44,3,44,44,44,0.006533036377134373,0.006493506493506494,-0.0006611802057672668,0.005927813994435073,0.0008936515839345013,-0.0024127373102788893,0.001090376898744356,0.00040760072367044013,-0.0030289146092003483,0.002146822109424143,0.5227272727272727,0.002404609859749997,0.0023596035865974517,1.0621843261578847,0.7826086956521804,0.1999999999999602,0.9999999999999787,0.7727272727272727,False,True,False
Services (other),hybrid,28,7,28,28,28,0.004157386785449147,0.015151515151515152,0.0005524787967732819,0.014882201962408864,0.0028124718109693767,-0.004959965952726696,0.006064923546273261,-0.0003442717169785479,-0.008056456947254712,0.0048076229626422915,0.42857142857142855,-0.0010516056539055794,-0.0027034855653180765,0.5424581630070325,1.1117824773413896,0.49999999999998934,1.5977443609022717,0.4642857142857143,True,False,False
SIC 37,hybrid,26,4,26,26,26,0.003860430586488493,0.008658008658008658,0.004611063657373336,0.014975314710942279,0.0029369008435879917,-0.0011452619960591274,0.010367389310805799,0.0041415842165452,-0.00381642499224434,0.013405596295612705,0.6153846153846154,0.005359657355958041,0.004015281509002492,0.6499531971409146,0.7620728856668871,0.11467188551158843,1.2452830188679247,0.6153846153846154,True,True,False
SIC 87,hybrid,24,3,24,24,24,0.0035634743875278397,0.006493506493506494,0.002416912247729115,0.012508287221517488,0.002553243437407749,-0.0025874448895900734,0.0074212693850483034,-0.0005754255193846126,-0.0017196563926542628,0.0037180922721057733,0.4166666666666667,0.004665621156606369,0.0021182451515722087,0.6524859399859478,0.4285714285714448,-0.12121212121214016,0.9333333333333687,0.7916666666666666,True,True,False
Construction (other),hybrid,20,1,20,20,20,0.002969561989606533,0.0021645021645021645,0.00382504308146272,0.009420830352108384,0.0021065617071807626,-0.00030381786461157424,0.007953904027537014,0.003922712441909245,0.0013813979432635768,0.009783147848797183,0.8,0.005845836760372196,0.005294117647058732,-0.3008333333333312,0.08333333333333157,-1.1000000000000298,0.6666666666666673,0.9,True,True,False
SIC 34,hybrid,20,1,20,20,20,0.002969561989606533,0.0021645021645021645,-0.001071423996200803,0.0051593143622127,0.0011536577631198568,-0.0033325932119157224,0.0011897452195141164,-0.0005896634703767426,-0.004560012078272328,0.002370452179220626,0.5,-0.0037666531924982712,-0.0008573655494934413,1.580494434293988,1.0526315789473684,0.31578947368420757,1.8762886597938075,0.4,True,True,False
OTHER,hybrid,11,2,11,11,11,0.0016332590942835933,0.004329004329004329,0.0037900057924340007,0.014217349238568145,0.004286692085252325,-0.004611910694660555,0.012191922279528557,-1.8962655864126002e-06,-0.010667449421930767,0.012255958653831412,0.45454545454545453,0.0011897189875651351,-0.0018034265103696516,1.0664986739594382,1.221949708041299,0.2511742395699899,1.7969281985321972,0.45454545454545453,True,True,False
SIC 80,hybrid,10,1,10,10,10,0.0014847809948032665,0.0021645021645021645,0.0006823009396218171,0.005870485279188513,0.0018564104452725165,-0.002956263533112315,0.004320865412355949,-0.0002106146919134298,-0.003937545285084284,0.001672902070960971,0.5,0.002115388872818607,-0.0014989330746848955,0.8193426885003561,0.9293356411835096,0.11564570780955218,1.318627497150828,0.5,True,True,False
SIC 58,hybrid,3,1,3,3,3,0.00044543429844097997,0.0021645021645021645,0.036156724101563835,0.03735024271179844,0.021564172683954688,-0.0061090543589873494,0.07842250256211503,0.01638428482204844,0.012849139886781755,0.07923674759586131,1.0,0.038412977997013785,0.020512820512820502,-0.14040404040403992,0.33333333333333365,-1.4999999999999991,0.7454545454545457,1.0,True,True,False
