ticker,ex_date,ex_ym,cash_amount,n_distributions,frequency,pay_date,record_date,declaration_date,prev_close,ex_open,ex_close,pre_avg_ret,pre_avg_abn_ret,pre_vol,pre_avg_volume,pre_avg_dollar_volume,post_avg_ret,post_avg_abn_ret,post_close,mkt_prev_close,mkt_ex_open,n_bars,n_bars_pre,n_bars_post,max_span_days,drop_ratio,drop_pct,div_yield,capture_ret,mkt_overnight_ret,capture_ret_abn,hold_ret,has_core,window_complete,window_contiguous,drop_ratio_extreme,low_yield
EVIM,2026-07-31,2026-07,0.160077,1,12,2026-08-06,2026-07-31,2026-01-29,52.475,52.26,52.3,6.456831632027094E-4,-3.517344285518531E-4,0.0019901174743730187,32401.0924,1699459.5692506,0.0013368019267338365,-0.008755023075701751,52.51,741.69,744.68,9,5,3,7,1.343103631377421,0.004097189137684676,0.0030505383515959977,-0.0010466507860886786,0.004031333845676624,-0.005077984631765302,0.0037175226298236603,true,true,true,false,true
FCT,2026-07-01,2026-07,0.0813,1,12,2026-07-15,2026-07-01,2026-06-18,,9.58,9.6,,,,,,1.4497796334926132E-6,-8.856914340908961E-4,9.6,,745.0,4,0,3,6,,,,,,,,false,false,true,,
FTPA,2026-08-03,2026-08,0.03103,1,12,2026-08-06,2026-08-03,2025-12-26,8.5617,8.51,8.52,-0.001124522171967568,-0.0038677508098180213,0.002491683408583122,41814.964233,358883.00270783604,0.0023474461319855644,-0.002464076339688407,8.58,747.03,749.44,9,5,3,7,1.6661295520464166,0.006038520387306294,0.0036242802247217257,-0.002414240162584569,0.0032261087238800073,-0.005640348886464576,0.005761706203207305,true,true,true,false,true
GDXW,2026-07-20,2026-07,0.291611,1,52,2026-07-21,2026-07-20,2025-12-30,33.3098,32.97,32.67,-0.008291490395280487,-0.006341118006108926,0.02648147500315194,44415.521183799996,1521401.0043011263,0.024091713962225425,0.025815271639482384,35.0161,743.29,747.06,9,5,3,7,1.1652509678990295,0.01020120204864646,0.008754510684543287,-0.0014466913641031727,0.005072044558651377,-0.00651873592275455,0.059979675651009576,true,true,true,false,false
GOVZ,2026-08-03,2026-08,0.153884,1,12,2026-08-06,2026-08-03,2025-09-04,33.57,33.5901,33.53,-0.00926147579359804,-0.012004704431448493,0.017832301399404102,227141.55252799997,7718623.251211405,0.002028883737924129,-0.0027826387337498426,33.73,747.03,749.44,9,5,3,7,-0.13061786800446662,-5.987488829311689E-4,0.004583973786118558,0.005182722669049727,0.0032261087238800073,0.0019566139451697197,0.009350134048257271,true,true,true,false,true
HBCP,2026-08-03,2026-08,0.32,1,4,2026-08-14,2026-08-03,2026-07-20,71.34,71.59,72.11,0.003802876205835831,0.0010596475679853778,0.011963000558255065,95280.57662200001,6761935.842749536,-5.439161085879496E-4,-0.0053554385802619215,71.99,747.03,749.44,9,5,3,7,-0.78125,-0.003504345388281469,0.00448556209700028,0.00798990748528175,0.0032261087238800073,0.0047637987614017425,0.01359686010653198,true,true,true,false,true
HEMI,2026-07-30,2026-07,0.289036,1,12,2026-08-03,2026-07-30,2026-05-28,40.7213,41.0996,41.0996,-0.0033412355763833,-4.0119956282258507E-4,0.008460568747691022,402.9758976,16561.914937548798,0.007453167833429457,-0.005704098802829775,42.0253,729.46,736.05,9,5,3,7,-1.30883350170914,-0.009289978463359543,0.007097906992163807,0.016387885455523353,0.009034080004386694,0.007353805451136659,0.03912046029964668,true,true,true,false,false
HOYY,2026-07-24,2026-07,0.0783,1,52,2026-07-28,2026-07-24,2026-07-23,5.413,5.31,5.2053,-0.0016890309446564167,7.248286123251457E-6,0.005789545021733869,16474.651444199997,89745.74075592139,-0.003547696425245143,7.110223777392344E-4,5.15,738.18,738.51,9,5,3,7,1.31545338441891,0.0190282652872715,0.014465176427119895,-0.004563088860151608,4.4704543607255814E-4,-0.005010134296224166,-0.034121559209310905,true,true,true,false,false
HYTI,2026-08-03,2026-08,0.1627,1,12,2026-08-04,2026-08-03,2026-01-03,19.003,18.91,18.85,3.965323858399761E-4,-0.0023466962520104773,0.0019791014874272644,13158.757883799999,249908.5815928632,0.001506627465360048,-0.0033048950063139237,18.9352,747.03,749.44,9,5,3,7,0.5716041794714196,0.004893964110929852,0.008561806030626744,0.0036678419196968922,0.0032261087238800073,4.41733195816885E-4,0.004993948323948753,true,true,true,false,false
IBTK,2026-07-01,2026-07,0.060522,1,12,2026-07-07,2026-07-01,2026-06-30,,19.46,19.455,,,,,,-8.465693424138572E-5,-9.717981479657745E-4,19.45,,745.0,4,0,3,6,,,,,,,,false,false,true,,
